sensor_id,tipo_elem,osm_node,snap_dist_m,lat_sensor,lon_sensor,lat_nodo,lon_nodo,calidad
5432,URB,4633714092,36.1,40.482934,-3.705752,40.483257,-3.705793,bueno
5433,URB,25920346,15.6,40.483001,-3.698824,40.483122,-3.698917,bueno
5434,URB,26202413,50.0,40.478264,-3.703729,40.477815,-3.703772,aceptable
5435,URB,26204368,50.5,40.480166,-3.702886,40.479733,-3.702707,aceptable
5436,URB,162105282,14.6,40.479108,-3.702463,40.478978,-3.702446,bueno
5437,URB,5924972879,17.1,40.476805,-3.711778,40.476653,-3.711751,bueno
5438,URB,25920598,47.7,40.480457,-3.708877,40.480682,-3.709357,bueno
5439,URB,25920600,29.9,40.480774,-3.712448,40.480703,-3.712789,bueno
5440,URB,25920612,27.0,40.479756,-3.713311,40.479868,-3.713029,bueno
5441,URB,25920340,83.4,40.483201,-3.700378,40.483752,-3.699709,aceptable
5442,URB,25920790,45.0,40.481466,-3.709021,40.481109,-3.709273,bueno
5443,URB,25587438,35.6,40.481438,-3.705795,40.481498,-3.705382,bueno
5444,URB,25587429,40.8,40.482484,-3.704444,40.482342,-3.704889,bueno
5451,URB,81485403,37.6,40.460798,-3.68993,40.460604,-3.690293,bueno
5452,URB,102525667,37.6,40.457742,-3.690222,40.457577,-3.69061,bueno
5453,URB,25906722,20.7,40.455638,-3.690423,40.455824,-3.6904,bueno
5454,URB,1752467714,15.9,40.454266,-3.690559,40.454196,-3.690396,bueno
5455,URB,1336935950,63.5,40.450742,-3.690903,40.450172,-3.690957,aceptable
5460,URB,1336935950,14.0,40.450109,-3.690814,40.450172,-3.690957,bueno
5461,URB,1752467714,80.2,40.453478,-3.690488,40.454196,-3.690396,aceptable
5462,URB,81476950,47.8,40.454654,-3.690374,40.454892,-3.690844,bueno
5463,URB,102525667,55.8,40.457238,-3.690123,40.457577,-3.69061,aceptable
5464,URB,101209921,59.4,40.460955,-3.689761,40.460539,-3.689321,aceptable
5465,URB,25906910,14.5,40.464276,-3.68911,40.464147,-3.689088,bueno
5466,URB,98963435,29.3,40.458818,-3.685882,40.458866,-3.685542,bueno
5467,URB,98964419,30.3,40.458783,-3.6852,40.458738,-3.685553,bueno
5468,URB,26412622,39.0,40.465473,-3.691201,40.465443,-3.69166,bueno
5469,URB,98963439,19.4,40.459021,-3.688279,40.458989,-3.688053,bueno
5470,URB,81468704,12.0,40.452181,-3.692643,40.452279,-3.6927,bueno
5471,URB,98989840,24.3,40.451884,-3.686558,40.451902,-3.686272,bueno
5474,URB,25906506,22.4,40.458949,-3.68913,40.458916,-3.689391,bueno
5475,URB,98964417,19.7,40.458871,-3.687832,40.458875,-3.688064,bueno
5476,URB,98964418,29.5,40.458794,-3.686408,40.458798,-3.686756,bueno
5477,URB,2494947297,10.6,40.458723,-3.683926,40.458762,-3.68404,bueno
5478,URB,98963435,27.2,40.458879,-3.685862,40.458866,-3.685542,bueno
5479,URB,98963436,19.7,40.458941,-3.686984,40.458928,-3.686752,bueno
5480,URB,98987562,69.8,40.459827,-3.687985,40.460453,-3.687924,aceptable
5481,URB,101208934,7.6,40.457804,-3.686868,40.457737,-3.686855,bueno
5482,URB,3988243858,47.9,40.459561,-3.685524,40.459987,-3.685433,bueno
5483,URB,101208812,19.4,40.457487,-3.685632,40.45766,-3.685661,bueno
5484,URB,81470176,32.8,40.452241,-3.691615,40.452312,-3.691239,bueno
5485,URB,339391846,12.7,40.452207,-3.69376,40.452253,-3.693623,bueno
5486,URB,81602123,17.0,40.452417,-3.695396,40.452426,-3.695597,bueno
5487,URB,81472408,16.7,40.452585,-3.697484,40.452531,-3.697299,bueno
5488,URB,81572826,16.9,40.452717,-3.700945,40.452733,-3.701144,bueno
5489,URB,10822977296,6.1,40.452547,-3.699074,40.452576,-3.699135,bueno
5490,URB,81473207,23.5,40.452397,-3.696281,40.452412,-3.696557,bueno
5491,URB,339391846,9.0,40.452275,-3.693725,40.452253,-3.693623,bueno
5492,URB,98766712,2.9,40.45307,-3.694969,40.453062,-3.694937,bueno
5493,URB,81466848,39.7,40.451964,-3.695095,40.452312,-3.694996,bueno
5494,URB,1728461372,32.6,40.453094,-3.697265,40.453039,-3.696886,bueno
5495,URB,2282176934,24.6,40.452963,-3.699311,40.453181,-3.699261,bueno
5496,URB,81582480,30.2,40.451898,-3.699493,40.451628,-3.699536,bueno
5498,URB,706689950,89.1,40.451812,-3.684001,40.451241,-3.683263,aceptable
5499,URB,98999476,101.9,40.453039,-3.684945,40.452248,-3.685553,aceptable
5500,URB,101190157,28.0,40.450584,-3.687144,40.450402,-3.687372,bueno
5501,URB,98989151,21.9,40.451919,-3.688096,40.451925,-3.688354,bueno
5502,URB,101190157,17.5,40.450314,-3.687543,40.450402,-3.687372,bueno
5504,URB,98984112,94.7,40.453024,-3.686636,40.452254,-3.686158,aceptable
5505,URB,102221207,12.4,40.455072,-3.687028,40.455181,-3.687059,bueno
5506,URB,102221207,22.3,40.454984,-3.687106,40.455181,-3.687059,bueno
5507,URB,98984384,73.9,40.454067,-3.688304,40.454236,-3.689148,aceptable
5508,URB,25906503,39.1,40.458374,-3.690515,40.458577,-3.690138,bueno
5509,URB,102525667,11.0,40.457479,-3.690596,40.457577,-3.69061,bueno
5510,URB,81473206,39.8,40.45215,-3.698121,40.452506,-3.698078,bueno
5511,URB,81485403,14.0,40.460478,-3.690292,40.460604,-3.690293,bueno
5512,URB,25906695,21.3,40.456659,-3.69018,40.456467,-3.690196,bueno
5513,URB,565714261,15.9,40.462925,-3.689688,40.463035,-3.689808,bueno
5515,URB,7235194735,100.7,40.466429,-3.687172,40.466698,-3.686036,aceptable
5516,URB,7235194735,26.4,40.466762,-3.685735,40.466698,-3.686036,bueno
5517,URB,31322832,60.1,40.467501,-3.68066,40.467477,-3.68137,aceptable
5518,URB,31322838,63.7,40.467569,-3.675902,40.467761,-3.676612,aceptable
5519,URB,31322842,82.6,40.466802,-3.673386,40.467099,-3.674282,aceptable
5520,URB,25962806,22.2,40.466416,-3.670449,40.466336,-3.670209,bueno
5521,URB,102222349,25.1,40.466648,-3.672668,40.466558,-3.672397,bueno
5522,URB,31322838,10.3,40.467774,-3.676492,40.467761,-3.676612,bueno
5523,URB,102359894,15.8,40.467331,-3.683211,40.467331,-3.683024,bueno
5524,URB,102279322,20.4,40.467019,-3.684736,40.46705,-3.684498,bueno
5525,URB,7235194735,89.9,40.466522,-3.687072,40.466698,-3.686036,aceptable
5526,URB,268514296,7.3,40.467545,-3.686466,40.4675,-3.686404,bueno
5527,URB,98972138,65.6,40.465626,-3.685603,40.466204,-3.685757,aceptable
