id,tipo_elem,nombre,longitud,latitud,osm_node,snap_dist_m,snap_calidad
6628,URB,Alcalde Aristizabal ManchÃ³n - Alcalde Henche Plata-PrÃ­ncipe Carlos,-3.65067081595638,40.48866919988753,283605404,26.81541928269727,bueno
6629,URB,Alcalde Ãlvarez de Villaamil - Alcalde Henche Plata-PrÃ­ncipe Carlos,-3.65079261402972,40.48947209251057,283606036,25.841365376199636,bueno
6639,M30,PM40001,-3.67156313077558,40.49167558462718,1121592042,43.38513629456147,bueno
6640,M30,PM10013,-3.67408704222425,40.48119950441493,25921963,34.485018342790255,bueno
6641,M30,PM10021,-3.6740433008622,40.48087770910202,25921961,4.052790240089422,bueno
6642,M30,PM10091,-3.67439453436033,40.47603795658922,25965172,46.16170855986043,bueno
6643,M30,PM10092,-3.67457932665751,40.47597971439813,25965172,51.925672653346076,aceptable
6644,M30,PM10141,-3.6717572068267,40.47087448383919,1296837952,10.334801378611765,bueno
6645,M30,PM10142,-3.67184266843934,40.47083407137156,1296837952,10.78084205414729,bueno
6646,M30,PM10211,-3.66842984385959,40.46645577168144,360627869,39.426221963921186,bueno
6647,M30,PM10212,-3.6686381358201,40.46641438071027,360627869,55.510066656097656,aceptable
6648,M30,PM10241,-3.66675038089134,40.46336125902516,25925496,26.850490586051563,bueno
6649,M30,PM10242,-3.66698218244293,40.46332380504482,25925496,21.818409493716743,bueno
6650,M30,PM10341,-3.66342052337203,40.45452336912739,25925883,33.778897012126286,bueno
6651,M30,PM10342,-3.66371762444557,40.45441633578497,25925883,35.57078094469507,bueno
6652,M30,PM10343,-3.6634958208658,40.45446724621053,25925883,28.966113381213212,bueno
6653,M30,PM10344,-3.6635731152302,40.45446354712477,25925883,31.339886127326164,bueno
6700,M30,PM12721,-3.72893721003249,40.47273254645181,150878502,28.345772487967448,bueno
6702,M30,PM12921,-3.70800714935824,40.48127099085395,25920539,50.03621256097946,aceptable
6703,M30,PM12981,-3.70108296978253,40.48326335316523,25920340,128.25209463632768,aceptable
6704,M30,PM13011,-3.69715289229193,40.48478558996822,25587659,10.566401297488417,bueno
6705,M30,PM13014,-3.69794113576822,40.48435166146356,1137265017,19.360103572029367,bueno
6706,M30,PM13041,-3.69485832895165,40.48536625798199,135822766,78.36152711797533,aceptable
6709,M30,PM23119,-3.68856975330544,40.48353233923044,11397060819,68.66912890236198,aceptable
6712,M30,PM30002,-3.67067514498134,40.49223815840436,12364718088,100.76576286623371,aceptable
